,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT
46172,24.37,53.86,1343,400,12954,19397,938.672,2.23,2.31,15.33,2.391,0.054,21178
59311,1.575,46.68,153,425,12785,20569,937.335,1.89,1.96,13.01,2.028,0.046,2425
5095,-8.668,54.56,44,400,13240,20175,939.702,2.11,2.19,14.49,2.26,0.051,5095
7834,-4.094,50.02,293,400,13117,19973,939.406,0.42,0.44,2.91,0.454,0.01,7834
35464,25.57,50.3,883,659,12796,19517,939.113,2.29,2.38,15.74,2.455,0.055,10470
55536,46.16,27.29,13433,552,12737,19105,936.881,0.68,0.71,4.7,0.734,0.017,4394
57594,10.59,40.35,91,461,12780,20666,937.511,2.24,2.32,15.39,2.4,0.054,708
24089,-12.348,46.66,1113,400,13051,19451,938.768,2.31,2.4,15.89,2.478,0.056,24089
22146,-14.95,50.43,1306,400,12971,19398,938.723,1.82,1.89,12.55,1.956,0.044,22146
53136,25.84,47.83,128,400,12785,20594,937.33,2.0,2.08,13.76,2.145,0.048,1994
22584,-19.646,47.83,1279,400,12962,19403,938.75,1.93,2.01,13.3,2.074,0.047,22584
12630,20.42,46.85,1096,568,12826,19460,938.976,2.26,2.35,15.59,2.43,0.055,12630
31772,18.64,56.22,217,400,13139,20043,939.603,0.69,0.71,4.73,0.738,0.017,6778
17573,16.455,53.52,1155,413,12898,19444,938.748,1.6,1.66,10.99,1.714,0.039,17573
52998,26.71,43.98,167,426,12771,20551,937.392,1.85,1.93,12.76,1.99,0.045,1856
53333,28.29,42.97,119,400,12795,20597,937.322,1.68,1.74,11.53,1.798,0.041,2191
30830,21.96,50.07,9,400,13277,20260,939.645,2.29,2.38,15.79,2.462,0.056,5836
4918,-7.968,54.88,51,400,13238,20169,939.688,2.27,2.36,15.62,2.436,0.055,4918
8813,-5.115,57.37,354,400,13072,19903,939.274,0.45,0.47,3.09,0.482,0.011,8813
7671,-4.092,50.04,289,400,13123,19981,939.428,0.48,0.49,3.27,0.51,0.012,7671
11174,8.257,54.12,1011,634,12802,19477,939.064,2.16,2.25,14.87,2.319,0.052,11174
27276,17.69,52.67,29,400,13191,20134,939.595,1.2,1.25,8.25,1.286,0.029,2282
50813,37.8,14.93,565,5187,12186,20021,930.898,2.25,2.34,15.52,2.42,0.055,825
8050,-4.231,50.61,308,400,13110,19956,939.387,0.23,0.24,1.6,0.25,0.006,8050
20322,13.088,52.64,1304,400,12950,19404,938.758,1.87,1.95,12.9,2.012,0.045,20322
38051,25.0,50.82,1082,553,12829,19451,938.922,2.26,2.35,15.56,2.426,0.055,13057
10859,4.753,53.38,1002,662,12793,19475,939.047,2.92,3.03,20.06,3.129,0.071,10859
3023,11.313,45.48,174,400,13152,20002,939.673,0.88,0.92,6.08,0.948,0.021,3023
44941,27.04,47.59,1151,400,12932,19442,938.756,1.73,1.8,11.9,1.856,0.042,19947
24833,11.784,54.17,1379,429,12978,19383,938.835,1.92,1.99,13.19,2.056,0.046,24833
21245,-1.047,50.79,1293,400,12958,19405,938.685,1.84,1.91,12.64,1.971,0.045,21245
31147,20.04,50.81,175,400,13167,20099,939.665,1.26,1.31,8.7,1.357,0.031,6153
47128,24.4,53.9,1354,413,12954,19385,938.728,1.84,1.91,12.64,1.97,0.045,22134
26681,16.35,52.96,17,400,13141,20036,939.596,1.12,1.17,7.72,1.204,0.027,1687
6193,-8.059,50.0,155,400,13182,20109,939.673,0.84,0.87,5.79,0.903,0.02,6193
21849,-10.789,49.33,1310,400,12965,19399,938.73,1.52,1.58,10.47,1.633,0.037,21849
27397,17.89,52.47,33,400,13199,20124,939.595,0.98,1.02,6.76,1.054,0.024,2403
45016,24.78,52.73,1205,412,12923,19426,938.744,1.49,1.54,10.22,1.594,0.036,20022
14359,15.942,47.38,1130,461,12860,19447,938.906,2.08,2.16,14.29,2.228,0.05,14359
46585,24.45,53.61,1381,413,12951,19390,938.732,1.58,1.64,10.86,1.693,0.038,21591
1407,26.369,55.77,23,400,13092,19981,939.664,0.89,0.93,6.14,0.957,0.022,1407
35448,23.23,55.69,931,680,12787,19505,939.114,2.04,2.12,14.06,2.193,0.05,10454
625,26.101,57.34,0,400,12888,19849,939.856,0.2,0.21,1.41,0.22,0.005,625
42943,26.64,49.05,1151,401,12907,19450,938.705,1.54,1.6,10.59,1.651,0.037,17949
23364,-21.486,47.89,1354,413,12971,19398,938.697,1.82,1.9,12.56,1.958,0.044,23364
8474,-4.734,56.16,339,400,13100,19932,939.324,0.21,0.22,1.43,0.224,0.005,8474
24935,16.472,50.97,1343,426,12975,19397,938.864,1.83,1.9,12.57,1.961,0.044,24935
62528,0.72,15.83,1005,400,13702,20414,936.717,0.57,0.59,3.94,0.615,0.014,5642
24893,14.498,54.15,1327,415,12984,19386,938.847,1.7,1.76,11.68,1.822,0.041,24893
41143,26.65,48.96,1138,406,12880,19434,938.772,1.71,1.78,11.76,1.834,0.041,16149
53459,28.55,42.16,143,400,12791,20578,937.333,1.83,1.9,12.59,1.964,0.044,2317
1969,22.818,47.18,56,400,13125,20004,939.578,0.85,0.88,5.83,0.909,0.021,1969
11860,15.507,51.78,1140,617,12805,19443,939.049,2.28,2.37,15.72,2.452,0.055,11860
7604,-4.123,51.6,278,400,13121,19984,939.481,0.36,0.37,2.45,0.382,0.009,7604
24173,-10.443,53.12,1151,400,13022,19444,938.754,2.03,2.11,13.96,2.177,0.049,24173
25339,13.39,53.94,2,400,12701,19747,939.804,0.08,0.11,0.47,0.116,0.028,345
58706,-4.133,47.95,147,410,12771,20568,937.425,2.2,2.29,15.14,2.361,0.053,1820
46116,25.92,53.21,1258,400,12963,19414,938.706,2.0,2.08,13.75,2.144,0.048,21122
40984,27.11,47.19,1164,413,12878,19446,938.789,1.39,1.45,9.58,1.493,0.034,15990
21394,-3.529,49.85,1346,414,12943,19386,938.711,1.72,1.79,11.83,1.845,0.042,21394
19307,20.472,53.2,1216,406,12922,19430,938.692,1.76,1.83,12.14,1.893,0.043,19307
2275,19.953,50.39,33,400,13188,20132,939.609,1.29,1.34,8.87,1.383,0.031,2275
2868,13.222,50.83,132,400,13162,20039,939.64,0.79,0.82,5.41,0.843,0.019,2868
26498,16.27,49.89,21,400,13106,20001,939.683,0.42,0.43,2.86,0.446,0.01,1504
20078,15.875,51.9,1224,413,12925,19415,938.737,1.35,1.4,9.28,1.447,0.033,20078
6452,-7.203,50.86,210,400,13150,20058,939.631,1.12,1.16,7.72,1.203,0.027,6452
34972,23.41,57.81,766,712,12777,19546,939.156,2.55,2.65,17.56,2.738,0.062,9978
61714,2.836,27.35,6954,400,13166,19563,936.885,3.48,3.62,23.97,3.738,0.084,4828
27436,20.43,47.27,9,400,13221,20150,939.632,1.13,1.17,7.75,1.208,0.027,2442
60732,13.443,45.74,0,400,13287,21162,937.314,1.58,1.64,10.89,1.698,0.038,3846
60750,13.67,45.71,77,400,13207,21065,937.045,1.96,2.04,13.5,2.105,0.048,3864
33885,20.77,51.53,353,400,13073,19907,939.258,0.35,0.36,2.41,0.376,0.008,8891
17164,14.831,51.28,1130,400,12908,19457,938.788,1.31,1.36,8.98,1.401,0.032,17164
17167,14.842,49.65,1155,408,12895,19438,938.787,1.24,1.28,8.51,1.327,0.03,17167
28873,20.58,49.43,188,400,13197,20026,939.676,2.25,2.34,15.48,2.414,0.055,3879
61160,20.291,34.61,2768,400,13154,19923,936.83,1.29,1.34,8.89,1.386,0.031,4274
41036,27.04,47.42,1163,403,12883,19441,938.815,1.65,1.72,11.36,1.772,0.04,16042
42647,26.81,48.32,1134,400,12900,19446,938.723,1.81,1.88,12.44,1.94,0.044,17653
11201,8.56,47.56,1057,637,12803,19460,939.085,1.9,1.97,13.04,2.034,0.046,11201
57975,-6.975,46.71,112,406,12774,20625,937.506,2.43,2.53,16.76,2.613,0.059,1089
10278,-0.914,56.7,868,675,12789,19511,939.066,2.12,2.21,14.62,2.28,0.052,10278
14236,16.555,47.64,1099,474,12859,19455,938.915,1.79,1.86,12.33,1.923,0.043,14236
20679,8.103,50.69,1021,400,13016,19473,938.711,2.69,2.79,18.52,2.887,0.065,20679
9347,-5.094,58.08,609,541,12872,19647,939.241,2.5,2.6,17.21,2.683,0.061,9347
26159,14.94,50.16,38,400,13044,19929,939.784,0.4,0.42,2.75,0.429,0.01,1165
4333,-3.805,48.86,104,400,13230,20116,939.66,2.48,2.58,17.06,2.66,0.06,4333
5060,-8.553,48.74,40,400,13240,20177,939.67,1.97,2.04,13.55,2.112,0.048,5060
31365,21.38,50.17,179,400,13167,20091,939.654,0.93,0.97,6.4,0.998,0.023,6371
43080,27.11,47.43,1149,400,12914,19443,938.695,1.53,1.59,10.53,1.642,0.037,18086
15260,12.512,47.45,1076,417,12878,19459,938.835,1.72,1.79,11.84,1.846,0.042,15260
18115,18.731,53.55,1193,415,12900,19421,938.718,1.78,1.85,12.28,1.916,0.043,18115
11951,16.328,48.38,1059,589,12820,19463,939.051,2.36,2.45,16.22,2.529,0.057,11951
43646,24.59,53.47,1245,413,12908,19417,938.719,1.63,1.69,11.19,1.745,0.039,18652
31607,21.22,50.21,193,400,13151,20062,939.608,0.86,0.89,5.92,0.924,0.021,6613
50642,40.56,13.97,0,1042,13077,20569,930.924,1.03,1.07,7.08,1.104,0.025,654
36366,26.69,47.51,1050,627,12809,19464,939.111,2.24,2.33,15.42,2.405,0.054,11372
48754,24.31,54.33,1417,415,12972,19380,938.691,1.85,1.93,12.75,1.989,0.045,23760
26940,18.2,53.95,48,400,13144,20014,939.608,0.53,0.55,3.67,0.572,0.013,1946
61176,20.44,27.98,3447,400,13095,19745,936.871,0.71,0.74,4.88,0.76,0.017,4290
43068,26.84,48.17,1145,400,12914,19454,938.68,1.83,1.9,12.6,1.966,0.044,18074
16605,13.091,52.84,1147,415,12887,19442,938.775,1.53,1.59,10.55,1.646,0.037,16605
18026,18.376,47.36,1155,400,12912,19443,938.723,2.06,2.14,14.15,2.207,0.05,18026
8144,-4.325,56.83,319,400,13107,19952,939.385,0.21,0.22,1.44,0.225,0.005,8144
29999,22.32,48.3,47,400,13243,20177,939.702,2.54,2.64,17.48,2.726,0.062,5005
14433,15.578,48.59,1172,483,12844,19430,938.914,1.8,1.87,12.36,1.927,0.044,14433
62568,7.309,14.94,776,400,13697,20476,936.685,0.6,0.62,4.11,0.64,0.014,5682
40731,26.94,47.75,1166,413,12884,19445,938.798,1.86,1.93,12.78,1.993,0.045,15737
30986,19.44,55.42,128,400,13191,20135,939.654,1.73,1.8,11.9,1.856,0.042,5992
20291,13.474,49.2,1230,408,12936,19414,938.738,1.74,1.81,11.96,1.865,0.042,20291
60355,12.904,39.72,0,400,13055,20919,937.449,1.81,1.88,12.45,1.941,0.044,3469
2468,17.899,53.84,0,400,13224,20159,939.617,0.95,0.99,6.55,1.022,0.023,2468
12218,18.416,51.17,1044,588,12817,19470,939.032,2.11,2.19,14.53,2.266,0.051,12218
4072,-1.229,53.12,128,400,13222,20091,939.621,2.24,2.33,15.45,2.409,0.054,4072
34324,21.63,59.99,611,543,12873,19643,939.235,2.48,2.58,17.09,2.665,0.06,9330
49249,26.69,47.88,1201,400,13019,19422,938.75,2.45,2.55,16.87,2.63,0.059,24255
11528,12.166,50.52,1059,606,12809,19467,939.069,1.94,2.01,13.33,2.079,0.047,11528
2348,19.196,53.37,18,400,13204,20144,939.566,1.03,1.07,7.1,1.106,0.025,2348
2947,12.253,50.14,131,400,13177,20044,939.619,0.79,0.83,5.47,0.852,0.019,2947
57985,-7.242,47.39,103,401,12778,20639,937.516,2.28,2.37,15.71,2.45,0.055,1099
28558,22.49,52.19,309,400,13112,19891,939.682,1.27,1.32,8.72,1.359,0.031,3564
51789,29.39,40.22,39,415,12808,20733,937.51,2.16,2.25,14.88,2.32,0.052,647
55217,31.54,53.78,3262,400,13255,19793,936.957,0.45,0.47,3.09,0.482,0.011,4075
11170,8.212,53.9,1055,642,12798,19469,939.066,2.31,2.4,15.92,2.482,0.056,11170
62296,-20.343,12.64,8676,400,13285,19459,936.686,0.83,0.86,5.73,0.893,0.02,5410
9771,-4.028,54.22,709,876,12683,19556,939.126,2.61,2.71,17.99,2.805,0.063,9771
2761,14.515,52.19,117,400,13178,20054,939.611,0.94,0.98,6.5,1.014,0.023,2761
60392,12.517,42.56,0,400,13165,21010,937.461,1.97,2.05,13.58,2.118,0.048,3506
47908,24.41,53.9,1364,408,12971,19385,938.756,1.72,1.79,11.86,1.849,0.042,22914
25420,14.2,49.53,10,400,12738,19755,939.838,0.19,0.24,1.22,0.252,0.042,426
32115,18.74,55.18,247,400,13127,20016,939.54,0.43,0.45,2.97,0.463,0.01,7121
41993,26.95,47.77,1107,400,12896,19446,938.784,1.9,1.98,13.11,2.044,0.046,16999
15789,11.997,48.83,1117,401,12882,19452,938.806,1.92,2.0,13.24,2.065,0.047,15789
14683,14.412,52.31,1203,479,12855,19428,938.861,2.01,2.09,13.84,2.158,0.049,14683
16894,13.91,49.63,1166,417,12880,19434,938.756,2.27,2.36,15.64,2.439,0.055,16894
1502,25.955,48.78,31,400,13102,20000,939.683,0.41,0.43,2.86,0.445,0.01,1502
44587,25.35,48.98,1316,429,12908,19407,938.701,1.26,1.31,8.71,1.358,0.031,19593
49846,26.57,49.11,1366,429,12989,19396,938.841,2.02,2.1,13.89,2.166,0.049,24852
41636,27.06,47.52,1159,401,12886,19438,938.769,2.07,2.15,14.26,2.223,0.05,16642
7541,-4.171,56.64,280,400,13119,19991,939.478,0.49,0.51,3.37,0.525,0.012,7541
44010,24.48,53.71,1279,420,12910,19413,938.705,1.85,1.92,12.74,1.987,0.045,19016
49778,26.16,51.87,1283,400,12998,19408,938.811,1.75,1.81,12.02,1.874,0.042,24784
12198,18.278,47.44,1040,562,12825,19472,939.006,2.57,2.67,17.68,2.758,0.062,12198
45111,26.84,48.3,1164,400,12937,19434,938.737,1.56,1.63,10.77,1.679,0.038,20117
8135,-4.315,56.11,320,400,13107,19944,939.364,0.22,0.22,1.48,0.231,0.005,8135
47083,26.57,49.36,1352,400,12969,19393,938.705,1.75,1.82,12.03,1.876,0.042,22089
48422,26.98,47.76,1316,400,12972,19388,938.698,1.96,2.04,13.51,2.107,0.048,23428
56400,59.75,11.52,60000,3134,11959,17448,936.727,1241.84,1577.37,7825.68,1676.226,308.821,5258
13030,20.827,48.37,1113,540,12835,19449,938.922,1.88,1.96,12.95,2.02,0.046,13030
14762,14.075,52.81,1048,426,12881,19472,938.877,1.72,1.79,11.85,1.848,0.042,14762
3282,8.081,62.33,193,400,13190,20019,939.686,2.15,2.23,14.8,2.308,0.052,3282
37635,24.8,51.82,1099,557,12826,19452,938.966,2.15,2.23,14.79,2.306,0.052,12641
50134,26.63,52.23,556,4012,12506,19416,931.19,11177.37,25081.62,43088.7,28104.449,13344.938,146
36532,26.58,47.97,1036,616,12813,19472,939.055,2.34,2.43,16.07,2.506,0.057,11538
43687,25.4,48.92,1268,415,12903,19410,938.703,1.71,1.77,11.75,1.832,0.041,18693
16147,12.228,49.59,1164,400,12880,19430,938.768,1.76,1.83,12.11,1.888,0.043,16147
20788,6.423,47.07,1245,400,12961,19418,938.682,2.0,2.08,13.79,2.151,0.049,20788
9541,-4.753,61.97,735,795,12736,19550,939.145,2.41,2.5,16.59,2.587,0.058,9541
4643,-6.332,47.81,45,400,13248,20171,939.672,2.14,2.22,14.72,2.295,0.052,4643
25849,12.69,57.27,1,400,12983,19906,939.767,0.34,0.35,2.33,0.363,0.008,855
31955,20.3,55.23,204,400,13151,20054,939.59,0.54,0.57,3.75,0.585,0.013,6961
53170,28.83,41.37,121,401,12788,20588,937.343,1.82,1.89,12.53,1.954,0.044,2028
46875,24.71,52.65,1312,406,12958,19394,938.729,1.96,2.03,13.46,2.099,0.047,21881
58098,-9.094,46.97,86,400,12783,20649,937.512,2.13,2.22,14.68,2.29,0.052,1212
841,26.903,54.8,15,400,12973,19899,939.776,0.16,0.17,1.11,0.172,0.004,841
14730,14.209,47.0,1109,451,12863,19453,938.857,1.73,1.8,11.89,1.855,0.042,14730
11772,14.669,48.26,1030,584,12823,19476,939.075,1.92,1.99,13.21,2.061,0.047,11772
901,27.019,55.78,11,400,12999,19916,939.761,0.16,0.17,1.1,0.172,0.004,901
36196,26.67,47.58,1069,648,12797,19460,939.095,1.9,1.97,13.05,2.036,0.046,11202
15311,12.413,48.41,1115,434,12874,19455,938.825,1.73,1.79,11.89,1.854,0.042,15311
31696,19.0,54.75,213,400,13141,20048,939.613,0.6,0.63,4.16,0.649,0.015,6702
1081,27.111,57.0,10,400,13041,19937,939.801,0.25,0.26,1.73,0.27,0.006,1081
20886,4.867,50.03,1333,407,12955,19400,938.706,2.23,2.32,15.34,2.392,0.054,20886
47862,26.48,49.7,1337,402,12973,19394,938.721,1.78,1.85,12.26,1.912,0.043,22868
6219,-7.979,53.45,176,400,13162,20083,939.682,1.06,1.1,7.3,1.138,0.026,6219
20360,12.603,47.85,1277,400,12961,19432,938.751,1.95,2.03,13.44,2.096,0.047,20360
23278,-21.8,54.14,1398,411,12968,19381,938.716,1.84,1.91,12.64,1.971,0.045,23278
28338,19.99,61.19,255,400,13153,19961,939.675,2.03,2.11,13.95,2.175,0.049,3344
12248,18.616,48.95,1002,566,12828,19486,939.02,2.02,2.1,13.91,2.169,0.049,12248
38792,24.51,53.29,1088,500,12857,19465,938.908,1.96,2.04,13.49,2.104,0.048,13798
52482,25.92,47.57,70,400,12783,20651,937.469,2.37,2.46,16.31,2.543,0.057,1340
13124,20.738,52.26,1138,547,12827,19434,938.938,1.99,2.06,13.67,2.132,0.048,13124
28291,19.53,64.44,212,400,13178,20003,939.7,2.27,2.36,15.65,2.44,0.055,3297
30349,22.02,49.27,4,400,13265,20233,939.726,2.51,2.6,17.25,2.69,0.061,5355
28126,20.92,47.16,171,400,13154,19996,939.628,0.89,0.93,6.15,0.96,0.022,3132
20873,5.076,53.38,1335,417,12950,19390,938.705,2.08,2.16,14.29,2.229,0.05,20873
56544,54.96,12.26,9767,400,13260,19386,936.691,1.2,1.25,8.25,1.287,0.029,5402
48330,24.36,54.14,1373,407,12969,19388,938.702,1.74,1.81,12.0,1.871,0.042,23336
42240,27.11,47.39,1182,404,12896,19434,938.818,1.46,1.52,10.06,1.568,0.035,17246
50272,31.44,36.65,620,1909,12819,19368,931.071,219.44,228.08,1510.1,235.627,5.407,284
61490,16.29,16.13,40870,856,12572,18613,936.903,0.81,0.84,5.58,0.87,0.02,4604
30682,19.67,54.88,60,400,13247,20214,939.698,2.23,2.32,15.38,2.398,0.054,5688
52432,28.48,42.63,71,400,12790,20651,937.485,1.73,1.8,11.89,1.854,0.042,1290
39501,24.69,52.67,1143,470,12865,19452,938.904,1.83,1.9,12.62,1.967,0.044,14507
44581,27.08,47.52,1235,404,12926,19430,938.709,1.31,1.36,9.0,1.403,0.032,19587
28008,20.88,46.65,177,400,13147,20000,939.683,0.78,0.81,5.39,0.84,0.019,3014
24861,13.035,48.26,1344,410,12989,19389,938.854,2.39,2.48,16.45,2.566,0.058,24861
13463,19.961,47.11,1151,513,12845,19445,938.892,1.76,1.83,12.13,1.891,0.043,13463
13575,19.574,47.66,1071,498,12853,19464,938.875,2.01,2.09,13.83,2.156,0.049,13575
27303,19.78,49.34,18,400,13205,20145,939.626,1.16,1.2,7.97,1.242,0.028,2309
58161,-9.269,47.18,95,400,12785,20637,937.474,2.21,2.3,15.2,2.371,0.054,1275
51164,26.9,44.9,9,426,12868,20772,937.603,1.93,2.01,13.3,2.074,0.047,22
51417,29.42,40.27,29,400,12839,20746,937.557,1.85,1.92,12.72,1.984,0.045,275
1853,23.751,47.51,63,400,13120,19995,939.595,0.6,0.63,4.15,0.647,0.015,1853
31560,21.52,49.12,198,400,13145,20055,939.633,0.73,0.76,5.03,0.785,0.018,6566
32149,20.98,50.27,244,400,13135,20019,939.529,0.52,0.54,3.56,0.555,0.013,7155
30794,19.86,54.04,27,400,13258,20233,939.682,2.38,2.47,16.35,2.549,0.058,5800
51181,29.86,38.82,29,424,12865,20768,937.593,1.95,2.02,13.41,2.09,0.047,39
6647,-6.515,55.32,215,400,13142,20044,939.602,0.6,0.63,4.14,0.646,0.015,6647
6300,-7.719,55.79,155,400,13184,20108,939.662,0.74,0.77,5.07,0.791,0.018,6300
47277,26.94,47.86,1362,402,12967,19390,938.71,1.89,1.97,13.03,2.032,0.046,22283
45913,24.82,51.91,1362,431,12944,19389,938.702,2.05,2.13,14.13,2.203,0.05,20919
3129,9.993,48.42,167,400,13159,20006,939.629,0.98,1.02,6.73,1.05,0.024,3129
50422,40.11,15.15,181,7453,12130,19941,930.956,10.58,10.99,72.79,11.35,0.256,434
51020,33.56,16.87,0,845,13110,20983,930.929,0.69,0.72,4.78,0.745,0.017,1032
18984,20.792,47.55,1203,400,12923,19432,938.705,1.76,1.83,12.12,1.89,0.043,18984
24610,2.754,49.26,1279,400,12996,19413,938.789,2.05,2.13,14.11,2.2,0.05,24610
29424,19.99,53.66,91,400,13237,20131,939.668,2.44,2.53,16.77,2.615,0.059,4430
41159,27.08,47.34,1170,405,12883,19433,938.772,1.7,1.76,11.68,1.821,0.041,16165
6409,-7.352,55.18,202,400,13155,20074,939.634,0.81,0.84,5.54,0.864,0.02,6409
12977,20.849,47.5,981,518,12844,19487,938.914,2.0,2.08,13.77,2.147,0.048,12977
3982,-0.263,47.42,128,400,13226,20095,939.656,2.05,2.13,14.09,2.197,0.05,3982
59279,0.261,41.88,221,481,12751,20502,937.319,1.86,1.94,12.84,2.002,0.045,2393
54356,28.48,43.33,203,417,12775,20520,937.334,1.74,1.81,11.99,1.87,0.042,3214
53948,28.79,42.3,170,429,12774,20553,937.409,1.7,1.77,11.72,1.827,0.041,2806
59760,20.001,43.12,206,461,12755,20506,937.416,1.68,1.74,11.54,1.799,0.041,2874
29950,20.48,50.79,54,400,13232,20163,939.702,2.36,2.45,16.22,2.529,0.057,4956
30512,19.54,55.44,1,400,13268,20245,939.732,2.39,2.49,16.47,2.568,0.058,5518
14136,17.054,50.46,1155,500,12853,19447,938.907,1.86,1.93,12.78,1.993,0.045,14136
10054,-2.559,51.4,850,725,12771,19527,939.138,2.14,2.22,14.73,2.297,0.052,10054
62428,-11.706,12.76,1833,400,13633,20204,936.674,0.8,0.83,5.52,0.861,0.019,5542
24011,-13.946,49.15,1360,403,12978,19380,938.743,1.67,1.74,11.5,1.794,0.041,24011
36638,26.08,51.26,1011,595,12817,19476,939.06,1.99,2.06,13.67,2.132,0.048,11644
51674,29.55,39.89,107,406,12824,20662,937.475,2.1,2.18,14.43,2.25,0.051,532
2586,16.569,53.22,75,400,13196,20108,939.627,0.87,0.9,5.97,0.931,0.021,2586
30791,19.99,53.13,24,400,13251,20219,939.676,2.37,2.47,16.34,2.548,0.058,5797
30747,19.54,55.3,47,400,13246,20209,939.7,1.83,1.9,12.58,1.962,0.044,5753
8436,-4.685,52.88,316,400,13106,19946,939.348,0.24,0.25,1.68,0.263,0.006,8436
26032,15.7,52.92,0,400,13048,19952,939.752,0.29,0.3,1.98,0.309,0.007,1038
7217,-4.727,50.04,237,400,13138,20029,939.521,0.45,0.47,3.1,0.484,0.011,7217
3601,4.146,58.25,341,400,13095,19868,939.644,1.48,1.54,10.17,1.586,0.036,3601
22581,-19.621,48.01,1316,400,12968,19401,938.74,1.94,2.02,13.37,2.084,0.047,22581
50312,36.57,21.61,280,4178,12444,19711,931.015,20.12,20.9,138.48,21.594,0.488,324
47937,26.92,47.93,1268,400,12981,19411,938.732,1.59,1.65,10.96,1.709,0.039,22943
16118,12.194,51.51,1176,415,12872,19438,938.749,1.88,1.96,12.97,2.022,0.046,16118
22118,-14.585,51.87,1367,421,12963,19386,938.729,1.62,1.68,11.13,1.736,0.039,22118
33063,18.78,53.79,314,400,13106,19950,939.394,0.37,0.38,2.53,0.394,0.009,8069
6042,-8.49,54.2,149,400,13189,20126,939.643,1.41,1.46,9.67,1.508,0.034,6042
19263,20.562,52.31,1094,400,12937,19453,938.696,1.51,1.57,10.41,1.624,0.037,19263
1279,26.791,53.53,24,400,13068,19954,939.71,0.52,0.54,3.56,0.556,0.013,1279
47383,26.54,49.36,1312,400,12967,19395,938.723,1.67,1.73,11.48,1.79,0.04,22389
27717,20.54,47.53,88,400,13191,20093,939.649,1.18,1.23,8.16,1.272,0.029,2723
56160,52.47,23.85,60000,15885,11088,16200,936.872,8152.43,9863.6,52608.63,10416.285,1550.289,5018
52254,28.65,42.04,93,400,12795,20646,937.511,1.92,1.99,13.18,2.056,0.046,1112
46925,25.85,47.56,1431,429,12951,19374,938.731,2.0,2.07,13.73,2.141,0.048,21931
31078,21.9,49.08,141,400,13192,20129,939.655,1.39,1.44,9.56,1.491,0.034,6084
59341,2.891,43.97,182,457,12760,20546,937.302,1.9,1.97,13.05,2.034,0.046,2455
60760,13.802,41.22,189,400,13178,20970,937.035,1.79,1.86,12.29,1.917,0.043,3874
59859,20.851,43.45,176,426,12771,20545,937.362,1.79,1.86,12.31,1.919,0.043,2973
44293,24.9,52.0,1199,400,12920,19425,938.68,1.67,1.73,11.48,1.79,0.04,19299
61243,20.786,26.64,11881,445,12794,19211,936.872,0.6,0.62,4.1,0.639,0.014,4357
42541,27.08,47.39,1155,412,12899,19440,938.738,1.35,1.4,9.3,1.45,0.033,17547
54184,28.75,42.6,189,436,12766,20530,937.334,1.83,1.9,12.59,1.964,0.044,3042
25317,11.46,54.85,29,400,12664,19705,939.795,0.06,0.08,0.35,0.091,0.024,323
47274,26.87,48.02,1337,407,12971,19401,938.721,1.82,1.89,12.5,1.949,0.044,22280
7097,-5.041,50.18,226,400,13133,20026,939.559,0.42,0.44,2.92,0.455,0.01,7097
41917,26.2,52.1,1059,400,12903,19462,938.77,1.88,1.96,12.97,2.023,0.046,16923
10954,5.797,48.45,1036,655,12798,19480,939.054,2.26,2.35,15.58,2.429,0.055,10954
23989,-14.368,53.8,1381,402,12979,19386,938.746,1.67,1.73,11.48,1.79,0.04,23989
38431,24.49,53.19,1141,533,12840,19446,938.867,1.93,2.01,13.29,2.073,0.047,13437
22493,-18.844,53.82,1358,400,12964,19386,938.754,1.84,1.91,12.65,1.972,0.045,22493
34263,21.2,61.02,581,584,12847,19676,939.227,2.61,2.72,17.99,2.806,0.063,9269
46947,24.41,53.82,1398,420,12954,19378,938.745,1.98,2.06,13.66,2.13,0.048,21953
13104,20.762,47.05,1143,534,12836,19449,938.91,2.39,2.48,16.46,2.567,0.058,13104
56268,56.39,17.99,60000,38857,10683,15470,936.779,11523.54,23535.78,50258.86,26197.062,11503.664,5126
5460,-9.27,55.18,18,400,13255,20217,939.708,2.07,2.15,14.22,2.218,0.05,5460
34772,21.98,57.26,741,844,12698,19543,939.136,2.4,2.49,16.49,2.572,0.058,9778
61401,19.185,23.49,31413,711,12651,18766,936.919,0.62,0.64,4.24,0.661,0.015,4515
3376,6.909,56.35,262,400,13149,19943,939.662,1.79,1.85,12.29,1.916,0.043,3376
43682,27.12,47.37,1222,400,12917,19422,938.716,1.64,1.71,11.3,1.762,0.04,18688
1786,24.247,48.48,35,400,13126,20014,939.618,0.7,0.73,4.84,0.755,0.017,1786
39774,26.99,47.44,1078,450,12867,19458,938.847,1.9,1.98,13.1,2.043,0.046,14780
57608,9.829,45.33,85,463,12776,20679,937.548,2.44,2.54,16.82,2.624,0.059,722
20593,9.383,47.49,954,400,13022,19495,938.715,2.28,2.37,15.69,2.446,0.055,20593
724,26.544,54.56,14,400,12916,19860,939.767,0.26,0.27,1.8,0.281,0.006,724
38451,26.94,47.51,1166,522,12838,19441,938.887,1.62,1.69,11.17,1.742,0.039,13457
