,pH,Temprature,Taste,Odor,Fat,Turbidity,Colour
815,6.5,38,1,1,1,1,255
862,9.0,43,1,1,1,1,248
269,6.8,36,0,1,1,0,253
1032,6.5,38,1,1,1,1,255
201,3.0,40,1,1,1,1,255
161,6.6,35,0,1,1,1,255
555,6.8,45,0,1,1,1,255
729,6.8,45,1,1,1,1,245
401,6.6,37,1,0,1,0,255
702,6.5,38,1,1,1,1,255
476,6.8,45,0,0,0,1,255
821,6.6,40,0,0,0,0,255
771,8.6,55,0,1,1,1,255
105,6.6,35,0,1,1,1,255
565,6.5,50,1,0,1,0,246
389,3.0,40,1,1,1,1,255
1,6.6,36,0,1,0,1,253
1025,8.5,70,0,0,0,0,246
1052,6.5,40,1,0,0,0,250
561,6.6,45,0,1,1,1,250
931,6.8,45,1,1,1,0,245
80,6.5,37,0,0,0,0,245
205,6.6,37,1,1,1,1,255
34,6.7,50,1,1,1,0,245
942,6.6,45,1,0,0,1,255
775,4.7,38,1,0,1,0,255
508,6.8,40,1,1,1,1,255
427,6.8,50,0,0,1,0,255
454,8.5,70,0,0,0,0,246
1046,6.6,38,0,0,0,0,255
366,7.4,65,0,0,0,0,255
91,6.5,36,0,0,0,0,247
339,5.6,50,0,1,1,1,255
897,6.7,38,1,0,1,0,255
564,6.8,45,1,1,1,1,245
345,3.0,40,1,1,1,1,255
776,3.0,40,1,1,1,1,255
1017,9.0,43,1,0,1,1,250
241,6.6,38,0,0,0,0,255
13,7.4,90,1,0,1,1,255
315,6.7,45,1,1,1,0,245
600,6.7,45,1,1,0,0,247
387,6.5,38,1,0,0,0,255
166,6.7,50,1,1,1,0,245
840,6.5,36,0,0,1,0,255
20,6.6,45,0,1,1,1,250
646,8.5,70,0,0,0,0,246
831,6.6,45,0,1,1,1,250
562,6.5,36,0,0,1,0,255
1034,3.0,40,1,0,0,0,255
686,3.0,40,1,1,1,1,255
957,6.8,41,1,1,1,0,255
189,8.6,55,0,1,1,1,255
975,6.8,45,0,1,1,1,255
699,6.8,45,0,1,0,0,240
510,6.5,36,0,0,0,0,247
474,6.6,43,1,0,1,1,250
856,6.8,40,1,1,1,1,255
747,6.8,38,0,0,0,0,255
252,6.6,38,1,0,1,0,255
21,6.5,36,0,0,1,0,255
459,9.5,34,1,1,0,1,255
276,6.6,50,0,0,0,0,255
955,6.8,45,0,1,0,0,240
385,6.5,36,0,0,1,0,255
805,6.8,45,1,1,1,1,245
343,6.5,38,1,0,1,0,255
769,3.0,40,1,1,1,1,255
130,4.5,38,0,1,1,1,255
871,5.5,45,1,0,1,1,250
87,3.0,40,1,0,0,0,255
330,9.0,43,1,0,1,1,250
466,6.7,45,1,1,1,0,245
121,6.5,36,0,0,1,0,255
1044,6.6,50,0,0,0,1,250
860,6.8,45,1,1,1,0,245
